danceability,energy,valence,tempo,acousticness,instrumentalness,loudness,speechiness,liveness,track_name,artists,track_genre,cluster,segment_name
0.676,0.461,0.715,87.917,0.0322,1.01e-06,-6.746,0.143,0.358,Comedy,Gen Hoshino,acoustic,4,Feel Good Dance & Urban
0.42,0.166,0.267,77.489,0.924,5.56e-06,-17.235,0.0763,0.101,Ghost - Acoustic,Ben Woodward,acoustic,0,Mellow Acoustic & Romance
0.438,0.359,0.12,76.332,0.21,0.0,-9.734,0.0557,0.117,To Begin Again,Ingrid Michaelson;ZAYN,acoustic,0,Mellow Acoustic & Romance
0.266,0.0596,0.143,181.74,0.905,7.07e-05,-18.515,0.0363,0.132,Can't Help Falling In Love,Kina Grannis,acoustic,0,Mellow Acoustic & Romance
0.618,0.443,0.167,119.949,0.469,0.0,-9.681,0.0526,0.0829,Hold On,Chord Overstreet,acoustic,0,Mellow Acoustic & Romance
0.688,0.481,0.666,98.017,0.289,0.0,-8.807,0.105,0.189,Days I Will Remember,Tyrone Wells,acoustic,4,Feel Good Dance & Urban
0.407,0.147,0.0765,141.284,0.857,2.89e-06,-8.822,0.0355,0.0913,Say Something,A Great Big World;Christina Aguilera,acoustic,0,Mellow Acoustic & Romance
0.703,0.444,0.712,150.96,0.559,0.0,-9.331,0.0417,0.0973,I'm Yours,Jason Mraz,acoustic,4,Feel Good Dance & Urban
0.625,0.414,0.669,130.088,0.294,0.0,-8.7,0.0369,0.151,Lucky,Jason Mraz;Colbie Caillat,acoustic,4,Feel Good Dance & Urban
0.442,0.632,0.196,78.899,0.426,0.00419,-6.77,0.0295,0.0735,Hunger,Ross Copperman,acoustic,0,Mellow Acoustic & Romance
0.627,0.363,0.301,99.905,0.279,0.0,-8.127,0.0291,0.0928,Give Me Your Forever,Zack Tabudlo,acoustic,0,Mellow Acoustic & Romance
0.483,0.303,0.139,133.406,0.694,0.0,-10.058,0.0429,0.115,I Won't Give Up,Jason Mraz,acoustic,0,Mellow Acoustic & Romance
0.489,0.314,0.607,124.234,0.749,0.0,-9.245,0.0331,0.113,Solo,Dan Berk,acoustic,0,Mellow Acoustic & Romance
0.691,0.234,0.209,87.103,0.777,0.0,-6.441,0.0285,0.12,Bad Liar,Anna Hamilton,acoustic,0,Mellow Acoustic & Romance
0.755,0.78,0.387,120.004,0.124,2.83e-05,-6.084,0.0327,0.121,Hold On - Remix,Chord Overstreet;Deepend,acoustic,4,Feel Good Dance & Urban
0.489,0.561,0.238,83.457,0.2,4.56e-05,-7.933,0.0274,0.179,Falling in Love at a Coffee Shop,Landon Pigg,acoustic,0,Mellow Acoustic & Romance
0.706,0.112,0.414,110.154,0.827,4.03e-06,-18.098,0.0391,0.125,ily (i love you baby),Andrew Foy;Renee Foy,acoustic,0,Mellow Acoustic & Romance
0.795,0.0841,0.609,91.803,0.742,1.17e-05,-18.09,0.0461,0.0853,At My Worst,Andrew Foy;Renee Foy,acoustic,0,Mellow Acoustic & Romance
0.625,0.414,0.669,130.088,0.294,0.0,-8.7,0.0369,0.151,Lucky,Jason Mraz;Colbie Caillat,acoustic,4,Feel Good Dance & Urban
0.717,0.32,0.322,107.946,0.83,0.0,-8.393,0.0283,0.107,Photograph,Boyce Avenue;Bea Miller,acoustic,0,Mellow Acoustic & Romance
0.703,0.444,0.712,150.96,0.559,0.0,-9.331,0.0417,0.0973,I'm Yours,Jason Mraz,acoustic,4,Feel Good Dance & Urban
0.678,0.351,0.569,90.032,0.747,0.0,-8.654,0.0266,0.355,Demons,Boyce Avenue;Jennel Garcia,acoustic,0,Mellow Acoustic & Romance
0.407,0.147,0.0765,141.284,0.857,2.89e-06,-8.822,0.0355,0.0913,Say Something,A Great Big World;Christina Aguilera,acoustic,0,Mellow Acoustic & Romance
0.572,0.454,0.515,140.182,0.477,1.37e-05,-10.286,0.0258,0.0974,93 Million Miles,Jason Mraz,acoustic,0,Mellow Acoustic & Romance
0.796,0.667,0.754,97.988,0.381,0.0,-4.831,0.0392,0.221,Unlonely,Jason Mraz,acoustic,4,Feel Good Dance & Urban
0.755,0.454,0.33,120.06,0.757,0.0,-9.609,0.0352,0.236,Bella Luna,Jason Mraz,acoustic,0,Mellow Acoustic & Romance
0.62,0.309,0.664,145.363,0.788,0.0,-9.209,0.0495,0.146,Winter Wonderland,Jason Mraz,acoustic,0,Mellow Acoustic & Romance
0.633,0.429,0.52,143.793,0.0444,0.0,-6.784,0.0381,0.132,If It Kills Me,Jason Mraz,acoustic,4,Feel Good Dance & Urban
